,edu,exp,id,mar,offer,owage,time,work
567,0,0,113,1,0,50369.9483386382,2,0
568,0,0,113,1,1,25291.924004641998,3,1
569,0,1,113,1,0,-inf,4,0
570,0,0,114,1,1,9341.29278782549,0,0
571,0,0,114,1,1,21742.187506570466,1,0
572,0,0,114,1,0,12715.72519725102,2,0
573,0,0,114,1,1,13484.806196823873,3,0
574,0,0,114,1,0,-inf,4,0
575,0,0,115,1,0,14206.360502793268,0,0
576,0,0,115,1,0,9076.756594457267,1,0
577,0,0,115,1,1,14801.303259490782,2,1
578,0,1,115,1,1,7345.736617134252,3,0
579,0,1,115,1,0,-inf,4,0
580,0,0,116,1,0,2245.361887284295,0,0
581,0,0,116,1,1,11378.160573139065,1,0
582,0,0,116,1,0,72382.3149453861,2,0
583,0,0,116,1,0,14421.92680945847,3,0
584,0,0,116,1,0,-inf,4,0
585,0,0,117,1,0,9712.81439608136,0,0
586,0,0,117,1,1,43913.058443472684,1,1
587,0,1,117,1,1,211081.52749845528,2,1
588,0,2,117,1,1,158204.288792138,3,1
589,0,3,117,1,0,-inf,4,0
590,0,0,118,1,0,100257.75685328367,0,0
591,0,0,118,1,0,60674.41520201072,1,0
592,0,0,118,1,0,149286.32712009863,2,0
593,0,0,118,1,1,39867.86370777543,3,1
594,0,1,118,1,0,-inf,4,0
595,0,0,119,1,0,18804.025241595762,0,0
